Country Name,Country Code,Year,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Energy use (kg of oil equivalent per capita),GDP growth (annual %),"GDP per capita, PPP (constant 2021 international $)",Gini index,Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Population, total",Renewable energy consumption (% of total final energy consumption),"School enrollment, secondary (% gross)",Trade (% of GDP),"Unemployment, total (% of total labor force) (national estimate)",Urban population (% of total population)
Early-demographic dividend,EAR,2022,2.41944100399443,943.128344625501,6.02119005770159,11378.5486537272,,,7.19861615609867,71.4304552508694,26.5516744711551,3470644834.0,,77.2122268676758,58.9341445376023,5.55491448908438,46.6969243405166
East Asia & Pacific,EAS,2022,7.06418419646893,2321.49962014263,2.9996184966993,22175.197366634,,82.4,5.34595440908904,76.6767167147452,11.8,2379617118.0,,91.2770309448242,60.1095992258372,,63.6828244393002
East Asia & Pacific (IDA & IBRD countries),TEA,2022,6.83682797672911,2143.54847654303,3.54808390633295,18808.7249692887,,82.3,5.40874375479067,75.9610347461336,12.4761247532852,2107261123.0,,90.1412811279297,46.7605279255167,,60.8301827838521
East Asia & Pacific (excluding high income),EAP,2022,6.77992863279642,2124.8762701815,3.54811147025219,18600.020880698,,81.6,5.37734908193985,75.9325409436903,12.506974447304,2133560408.0,,90.1883010864258,46.7579624046603,,60.8593968560328
Ecuador,ECU,2022,2.47809443692364,904.739923624519,5.86842354862311,14186.6388544625,45.5,69.7181,3.46616972213077,76.577,11.2,17823897.0,,94.1335305764161,61.880792818786,3.672,63.0901835932266
"Egypt, Arab Rep.",EGY,2022,2.29974804261299,902.48842991302,6.58784560886967,16360.3907750364,,72.1981,13.8956609775178,71.01,16.7,112618250.0,,,36.9831048772713,7.344,42.6325129008032
El Salvador,SLV,2022,1.34798885215862,768.683429492147,2.95461516549889,11085.6178074688,38.8,65.5298,7.19861615609867,71.969,9.5,6280319.0,,65.2267824913058,88.7011093776867,2.993,74.1465021298679
Equatorial Guinea,GNQ,2022,2.82155421683407,1283.9351679017,3.22350831658598,16932.7706827155,38.5,59.3433,4.78671704710803,63.355,50.9,1803545.0,4.2,,81.8130161368099,,70.8910029445467
Eritrea,ERI,2022,0.219947692397037,289.547794683649,,,,18.7092,,67.789,26.4,3409447.0,,44.0441284179688,,,34.8469276428223
Estonia,EST,2022,11.1341597224282,3559.04893160478,-1.22616966587796,43128.6327713627,32.3,91.5202,19.3982634080616,77.8439024390244,1.7,1348840.0,,112.551849365234,175.68711950524,5.571,70.4892333736738
Eswatini,SWZ,2022,0.883161035575023,958.916943750887,0.386070835562705,9927.60567008139,,57.465,,63.028,44.6,1218917.0,64.7,88.2913589477539,92.5715871298334,,25.396682918542
Ethiopia,ETH,2022,0.146229646781817,377.921752731092,5.32175988403378,2655.59276743729,,,33.8898797100898,66.897,37.0,125384287.0,,,26.5954996967313,,22.7367687225342
Euro area,EMU,2022,6.04271643704466,2945.12300052697,3.6592192433758,56014.5098081467,,,8.47117645590892,81.6232025628471,3.02990230182414,348200155.0,,108.442291259766,100.605084239169,6.77735729230381,77.1544577812445
Europe & Central Asia,ECS,2022,6.85506904958575,3028.85090151607,3.39087777130349,43327.4955266552,,87.9,11.1136121878761,77.8344787151258,6.6,924234471.0,,103.31950378418,93.5866204888838,5.86900482608642,73.7292682667978
Europe & Central Asia (IDA & IBRD countries),TEC,2022,7.89342522267662,3138.85603316966,1.95197902081506,29994.0772747516,,85.2,13.8522590144267,74.1883654842503,9.12374934703656,460942269.0,,98.0531005859375,72.7487936847561,5.65546457607363,68.9112783282391
Europe & Central Asia (excluding high income),ECA,2022,5.05570589189862,1894.86137320559,3.07901753477167,22207.9612475691,,82.0,13.8875841659221,74.5731684190474,11.7494303786583,250514347.0,,99.5128402709961,82.3219771480926,,68.1628939259503
European Union,EUU,2022,6.14634944277267,2922.75771263617,3.56155233245134,53648.5391652011,,,8.83369886749452,80.7135056290876,3.18683214828156,447202673.0,,107.638740539551,103.706433693426,6.16136079316676,74.7659603902094
Faroe Islands,FRO,2022,0.038952366820003,,3.86099981669155,70256.7191950519,,,,82.9439024390244,,53912.0,7.9,,122.86334141193,,38.9959824546757
Fiji,FJI,2022,1.56000182723494,,17.7451269773594,12118.3182710082,,78.2433,4.32011856243056,67.148,23.5,919422.0,28.4,95.3068339697491,,,58.1352701465266
Finland,FIN,2022,6.68162198489374,5683.95102157914,0.763041912763526,57068.3056478074,27.9,92.9888,7.12350773301402,81.1878048780488,1.8,5556106.0,,144.852462768555,94.5625340522667,6.719,73.6967597835949
Fragile and conflict affected situations,FCS,2022,0.820161424665418,498.689646479432,1.62071663646515,5693.99860611589,,34.8,9.39075933985203,62.702271566254,48.5154059942791,1036390026.0,,47.2565994262695,,,45.5264138281595
France,FRA,2022,4.51246828877731,3100.1897815932,2.71676264185913,53673.8137406422,31.2,85.3333,5.22236748369735,82.1292682926829,3.4,68184457.0,,104.316436767578,75.9630077981996,7.303,78.7591921123356
French Polynesia,PYF,2022,3.30197091069913,,2.9373470716322,,,,,83.859,,280378.0,7.0,,69.5264023221442,,61.6913806937112
Gabon,GAB,2022,2.29694822208975,2096.2456480631,3.03761449530657,18662.0497970621,,70.7069,4.23124798274579,67.713,27.2,2430747.0,,,92.0630888500131,,91.2243355459988
"Gambia, The",GMB,2022,0.187713116401856,,5.49299823010114,2863.18049829859,,44.0389,11.5131198380505,64.859,34.9,2636470.0,47.7,,44.7219215369466,,63.2869880996278
Georgia,GEO,2022,3.62639535278365,1543.58379982411,10.9585321385624,20966.5280391134,33.5,78.7113,11.8981654203198,74.141,8.1,3712502.0,,103.710205488304,114.695437688718,10.198,60.0101622679115
Germany,DEU,2022,7.91182860265874,3261.8564081995,1.8092581243061,63676.087821808,,91.6298,6.87257438551097,80.6080487804878,3.1,83177813.0,,100.81729888916,88.7857542130501,3.137,81.7867852780995
Ghana,GHA,2022,0.717599050497581,359.179379052306,3.80484980952164,6728.45414012286,,69.3607,31.2558951049016,65.246,29.2,33149152.0,,77.8168696801948,70.1154557958907,2.87,57.250609602871
Gibraltar,GIB,2022,16.9028689941238,6522.23499259331,,,,,,83.517,,37609.0,,72.4222793579102,,,100.0
Greece,GRC,2022,5.28092585505901,1957.79872050503,5.52198580589408,35831.3441781205,33.4,83.1707,9.64525981280632,80.7878048780488,3.3,10436882.0,,106.21671295166,108.121843229922,12.426,78.5502190980809
Greenland,GRL,2022,10.4198655159634,,2.00455580865604,70681.2253902158,,,,71.5404878048781,,56661.0,11.7,,93.3651328766632,,87.8049405256832
Grenada,GRD,2022,1.44894066528102,,7.31023806981959,16376.4273099594,,74.2689,2.5805392590792,75.151,16.9,116913.0,10.0,,,,36.3688840183487
Guam,GUM,2022,0.0018162005085361,,5.09986426216793,,,,,77.102,,165180.0,6.7,,71.8668596237337,,94.1068261842046
Guatemala,GTM,2022,1.06185178214753,887.8389253262,4.18451817243695,12147.9309684074,,55.4086,6.88512823344287,71.206,18.4,17847877.0,,45.8926232164663,54.4310384820058,3.051,55.2581228215265
Guinea,GIN,2022,0.371451377528373,,3.97240784200721,3792.01068836277,,24.6954,10.4930409984424,60.432,63.1,14055137.0,66.6,,94.1652726931221,,37.2384967469106
Guinea-Bissau,GNB,2022,0.163331875267451,,5.52987253058352,2603.24022588591,,27.5672,9.39075933985203,63.605,44.3,2105529.0,87.4,,45.7584952252858,2.666,45.1627159118652
Guyana,GUY,2022,4.48373186699236,,63.3346343654855,37068.1993827588,,78.3924,6.11505550109935,69.888,24.6,821637.0,12.1,,,,26.4536735068183
Haiti,HTI,2022,0.294629353613119,377.526060418635,-1.68198396897978,3057.42840826502,,,33.98393194707,63.948,41.5,11503606.0,,,36.529550283828,,53.8524949966907
Heavily indebted poor countries (HIPC),HPC,2022,0.322431223423067,400.784696544082,4.87387497765388,3090.26152222753,,,9.65914753785069,63.8404458555462,44.0104847065421,893906294.0,,41.903938293457,55.9736105578035,,36.9472479538651
High income,HIC,2022,10.2078833994944,4552.18488980022,3.04532150391606,56863.1572458399,,91.0,7.53107834634288,79.4309739106372,4.2,1398001706.0,,103.741172790527,67.3891758851085,4.5358001898527,79.9046308853316
Honduras,HND,2022,1.01020922274279,573.344445082903,4.14356194013767,6352.58710177732,,56.3896,9.08963911525025,72.715,13.7,10463872.0,,53.8605804443359,112.698524913966,8.774,57.8364689017254
"Hong Kong SAR, China",HKG,2022,4.37404881501749,1566.39613487602,-3.68378414495199,64036.6454154727,,95.6136,1.88136707196853,83.6609756097561,,7346100.0,,106.185208398621,384.881143223724,4.318,100.0
Hungary,HUN,2022,4.95293425120931,2672.86765529203,4.15238057779229,40610.9711368238,,89.1428,14.6081439492433,75.8682926829268,3.2,9605074.0,,102.908576965332,185.000204092698,3.583,70.1585064243445
IBRD only,IBD,2022,4.94841494972312,1713.40135253771,3.77001425774095,16991.0252581932,,74.4,9.10437983075437,74.2512624750087,17.7571168549093,4928196300.0,,88.6169586181641,53.7445531321912,5.71829545021725,57.7552337954716
IDA & IBRD total,IBT,2022,3.75729634484102,1381.90502735145,3.82613307769597,13672.1547499022,,63.0,8.81109209279587,71.677581962506,30.1389107010954,6794724390.0,,74.3354263305664,53.6207752287313,,52.8148643869515
IDA blend,IDB,2022,0.885663927587803,477.044311254525,4.79819828416285,6528.77500867617,,36.5,6.32752007290448,62.1288641416852,50.9914254908524,651895919.0,,47.5066413879395,,,47.6330129185198
IDA only,IDX,2022,0.437910812532837,372.93417690592,4.30600397002799,4079.70265824005,,30.7,9.57337118555953,66.3600605315493,40.5319767556079,1214632171.0,,49.1855697631836,55.0014002268336,,35.5511339217003
IDA total,IDA,2022,0.595370118961047,412.359659732814,4.54563835706816,4924.78728035756,,32.8,8.21619710967436,64.8822902939527,44.1536280844604,1866528090.0,,48.4808082580566,51.3326796915021,,39.7708012570462
Iceland,ISL,2022,8.48003811488391,15806.7848368996,8.82069395623492,65380.3173049324,,99.8082,8.3087551155892,82.119512195122,2.0,382003.0,,112.589393615723,93.0487199615013,3.789,94.1787071228028
India,IND,2022,1.96929618962877,727.902200094024,7.60936497768895,8594.39190499879,25.5,55.9,6.69903414079852,71.698,25.6,1425423212.0,,81.6558464317379,50.0752701498882,4.822,34.7555673994206
Indonesia,IDN,2022,2.5918955237502,953.65392850686,5.30719722664799,13334.2653947637,35.5,66.4846,4.20946463714784,70.925,17.5,278830529.0,,97.8167602714893,45.4646701959453,3.462,57.4934704226599
"Iran, Islamic Rep.",IRN,2022,8.84742330027555,3266.12248660454,4.35281087521344,16377.9610645368,34.8,79.061,43.4884641742179,76.799,11.0,89524246.0,,,48.9183508223052,9.085,76.3342208862305
Iraq,IRQ,2022,5.04369459778254,1411.58869867393,7.95904804992662,13433.3977166987,,78.7156,4.99476596381044,72.037,21.5,44070551.0,,,68.75879409409,,69.8682861328125
Ireland,IRL,2022,6.84581291258731,2600.15740643769,7.51113888415304,123219.076059494,29.9,96.6206,7.82945736434105,82.509756097561,3.3,5212836.0,,133.150497436523,237.755419559378,4.465,63.8920250215059
Isle of Man,IMN,2022,,,-4.16539345213232,,,,,80.956,,84132.0,2.7,,,,52.1955609162662
Israel,ISR,2022,6.65826837562124,2501.42064264807,6.26326343841286,48098.187235579,,91.8508,4.41162725488371,82.7,2.7,9557500.0,,96.5853729248047,60.6448526742952,3.695,91.4979834273327
Italy,ITA,2022,5.60897190137329,2411.65172417311,4.82117669913565,52333.3274270604,33.7,85.0607,8.20128991161718,82.7,2.4,59013667.0,,101.353858947754,72.0165023032697,8.069,69.4839779766539
Jamaica,JAM,2022,2.64695978787973,968.879419803617,6.43930323656186,11096.6377085321,,82.4453,10.3495688391272,71.481,18.3,2839144.0,,82.8584671020508,,4.083,57.9879906034775
Japan,JPN,2022,8.3956307081074,3129.65861717499,0.941998775483285,44972.3438362201,,84.9234,2.49770278172255,83.9963414634146,1.8,125124989.0,,102.337966918945,46.8129868368938,2.614,91.9776532428406
Jordan,JOR,2022,2.07333464045749,754.305503117865,2.64743514912058,9266.57538251337,,90.5,4.22915568897117,77.088,12.6,11256263.0,,90.9912658899133,104.095459439189,18.2,92.4048379066163
Kazakhstan,KAZ,2022,12.3050866627844,3506.54555005386,3.19999999970734,33506.2614893237,,92.2969,15.0278644440851,73.503,7.7,20034609.0,,94.0433413378673,68.3343147415612,4.86,61.444157327248
Kenya,KEN,2022,0.405006512054817,541.12804988998,4.85998104287999,5491.69378280246,37.7,,7.65986268272224,63.549,35.8,54252461.0,,83.7738192286218,40.2753238373561,5.441,31.4307820066946
Kiribati,KIR,2022,0.580980922671286,,4.56632593100372,3107.77604642687,,,5.34595440908904,66.269,40.6,130469.0,41.9,88.6853008111105,107.685878015909,,60.5739126559419
"Korea, Dem. People's Rep.",PRK,2022,2.27140993081922,640.514278027031,,,,,,73.641,14.3,26328845.0,,,,,63.2274365906829
"Korea, Rep.",KOR,2022,11.8737409785064,5411.97477731382,2.72756456708991,53228.6035655365,,97.1686,5.08951365062842,82.6804878048781,2.4,51672569.0,,97.8181304931641,90.5851475278549,2.857,81.1624941626873
Kosovo,XKX,2022,,,4.27849895827543,13022.4627441502,38.3,,11.5805104542012,77.623,8.7,1768096.0,,,110.012031619226,12.093,47.8001996538455
Kuwait,KWT,2022,22.3585581710822,9129.59798629005,6.75866711966617,51379.8833194119,,99.7237,3.98064961990313,80.5878048780488,7.6,4589643.0,,,90.9204116970196,,100.0
Kyrgyz Republic,KGZ,2022,1.5054865652983,645.014246171812,8.96750520041391,6139.77788825006,26.4,82.5991,13.9229093174176,72.0487804878049,15.1,6975220.0,,,133.786718048766,4.767,34.7003053497743
Lao PDR,LAO,2022,3.17918742501495,815.086540442856,2.70742652643155,8183.03286472653,,62.7001,22.9562225132056,68.715,36.4,7559007.0,49.2,56.8782044614964,,1.209,38.0682382805397
Late-demographic dividend,LTE,2022,7.60831064813456,2556.38938271623,3.28700376545592,22819.7257752693,,,8.64091108973855,76.9543256667468,7.74327168139762,2323799591.0,,93.5337371826172,57.7023890477916,,66.5775786046606
Latin America & Caribbean,LCN,2022,2.64191212344237,1325.26357876772,4.08489707535256,19352.1819162164,,77.1,7.71367726901419,74.6472095421659,13.8,653108120.0,,97.0838012695312,56.0555033079967,6.90716237257647,80.8277327769
Latin America & Caribbean (excluding high income),LAC,2022,2.50120011340175,1270.31990096235,3.94705326197962,18478.2971735689,,76.6,8.33370630096231,74.4897262626475,13.6510686282049,585648822.0,,96.8845901489258,55.088454453885,6.80816019473853,80.294444140205
Latin America & the Caribbean (IDA & IBRD countries),TLA,2022,2.64733723885593,1333.08703165238,4.11782588294029,19256.4973758813,,77.3,7.8962761916855,74.5684293540859,13.8758102791969,637837815.0,,96.9736022949219,54.7675774389193,6.91088091732378,80.8195255101746
Latvia,LVA,2022,3.68567769315781,2256.11904538867,1.90853419029801,37718.7097958367,33.7,91.0301,17.3102830198815,74.2780487804878,2.7,1879383.0,,104.764526367188,159.892778190649,6.815,68.2570218109034
